unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1517961600000,2018-02-07 00:00:00,BTC/USDT,7655.02,8476,7150.01,7599,60778.460497,477935038.811777,514893
1518048000000,2018-02-08 00:00:00,BTC/USDT,7599,7844,7572.09,7784.02,1521.537318,11770168.043866,12417
1518134400000,2018-02-09 00:00:00,BTC/USDT,7789.9,8738,7789.9,8683.92,20482.910825,173348469.811879,273091
1518220800000,2018-02-10 00:00:00,BTC/USDT,8683.93,9065.78,8120,8533.98,49381.512653,423411421.93098,537578
1518307200000,2018-02-11 00:00:00,BTC/USDT,8533.99,8549,7726.53,8063.88,45025.187952,366966437.249889,524626
1518393600000,2018-02-12 00:00:00,BTC/USDT,8063.82,8989,8053,8903,41987.85049,362440826.994377,477660
1518480000000,2018-02-13 00:00:00,BTC/USDT,8903,8950,8351,8539.9,35454.972956,305165143.696923,401893
1518566400000,2018-02-14 00:00:00,BTC/USDT,8535.17,9489.6,8533,9449.99,40811.952867,370126692.728233,514897
1518652800000,2018-02-15 00:00:00,BTC/USDT,9449.98,10219.5,9301.5,10000.09,52427.596715,512388484.731783,608349
1518739200000,2018-02-16 00:00:00,BTC/USDT,10000.89,10323.37,9666,10159.98,38161.205974,381103299.223885,405310
1518825600000,2018-02-17 00:00:00,BTC/USDT,10156.07,11075.07,10050,11039.55,41882.108407,446012696.169267,413585
1518912000000,2018-02-18 00:00:00,BTC/USDT,11039.55,11274,10080,10383.43,61137.380728,649423311.310023,537534
1518998400000,2018-02-19 00:00:00,BTC/USDT,10375.01,11250,10270.33,11153,40831.417131,443766562.683066,366882
1519084800000,2018-02-20 00:00:00,BTC/USDT,11147.11,11786.01,11100.59,11200.99,48153.354288,551573232.242959,432197
1519171200000,2018-02-21 00:00:00,BTC/USDT,11195.07,11304.03,10200,10437.6,68113.818754,731537130.492186,542340
1519257600000,2018-02-22 00:00:00,BTC/USDT,10439.02,10933.44,9679,9811.04,67060.166483,682006373.869588,506273
1519344000000,2018-02-23 00:00:00,BTC/USDT,9815.55,10435,9570.19,10131.04,57202.70237,571800753.470976,467480
1519430400000,2018-02-24 00:00:00,BTC/USDT,10131.04,10496.97,9352,9694.51,40888.156299,405618586.648038,337918
1519516800000,2018-02-25 00:00:00,BTC/USDT,9694.51,9847,9274.8,9590,28373.517586,271286599.126086,233567
1519603200000,2018-02-26 00:00:00,BTC/USDT,9590,10444.32,9350,10324,34878.292756,347559259.738452,285276
1519689600000,2018-02-27 00:00:00,BTC/USDT,10321,10870,10121,10569.04,30705.385123,324295371.141466,240542
1519776000000,2018-02-28 00:00:00,BTC/USDT,10584.33,11098,10300,10326.76,30800.983782,327914696.130675,277886
1519862400000,2018-03-01 00:00:00,BTC/USDT,10325.64,11060.41,10240,10920,25092.55393,268172535.381129,230428
1519948800000,2018-03-02 00:00:00,BTC/USDT,10923.36,11200,10770,11039,23910.71009,262936307.007858,211691
1520035200000,2018-03-03 00:00:00,BTC/USDT,11038.99,11544,11015.01,11464.48,21287.15328,241749497.902472,190444
1520121600000,2018-03-04 00:00:00,BTC/USDT,11464.47,11565,11050.02,11515,17295.918653,194849579.125021,168359
1520208000000,2018-03-05 00:00:00,BTC/USDT,11515,11710,11415.01,11454,15144.231063,174866951.398065,164318
1520294400000,2018-03-06 00:00:00,BTC/USDT,11455,11455,10555.48,10716.48,29515.572363,323842216.648596,250306
1520380800000,2018-03-07 00:00:00,BTC/USDT,10716.48,10899,9389.31,9910,50647.67108,514808033.487921,396721
1520467200000,2018-03-08 00:00:00,BTC/USDT,9910,10099,9060,9271.64,41109.473226,394641280.638437,336514
1520553600000,2018-03-09 00:00:00,BTC/USDT,9267.07,9410,8329,9227,64112.291407,567082901.13194,462712
1520640000000,2018-03-10 00:00:00,BTC/USDT,9230,9490,8667.07,8770.22,37180.012857,341210248.414818,288066
1520726400000,2018-03-11 00:00:00,BTC/USDT,8770.22,9740,8450,9533.57,44325.973386,403491260.927532,333367
1520812800000,2018-03-12 00:00:00,BTC/USDT,9533.57,9888.88,8780,9131.34,42230.77793,395562731.865037,336642
